-120, -6.000000, 0, 837.954651, 41.897732 
-120, -6.000000, 0, 840.383606, 42.019180 
0, -120, -6.000000, 0, 841.644531, 42.082226 
10, -120, -51.743989, 0, 584.247742, 477.461365 
20, -120, -79.132605, 0, 133.569016, 381.375122 
30, -120, -95.531181, 0, 79.593018, 283.746216 
40, -120, -99.883849, 0, 77.527489, 266.795929 
50, -120, -103.499222, 0, 87.788635, 287.788208 
60, -120, -110.120375, 0, 165.109467, 268.062897 
70, -120, -114.084704, 0, 466.193848, 281.572418 
80, -120, -112.436307, 0, 345.125610, 328.583893 
90, -120, -111.244559, 0, 139.080887, 285.662598 
100, -120, -114.757794, 0, 101.856468, 225.237427 
110, -120, -116.861298, 0, 81.978233, 195.827484 
120, -120, -118.120743, 0, 75.164886, 160.763123 
130, -120, -113.936875, 0, 16.203482, 130.975494 
140, 13, -105.233043, 0, 53.594524, 213.266083 
150, -120, -105.102227, 0, 755.890137, 329.919403 
160, -120, -111.080153, 0, 47.206936, 229.969818 
170, -120, -110.430053, 0, 120.797768, 276.046967 
180, -120, -109.077642, 0, 49.989361, 211.558426 
190, -120, -107.701006, 0, 49.677723, 246.566391 
200, -120, -107.443660, 0, 129.211411, 251.242783 
210, -120, -104.012315, 0, 74.441948, 198.488647 
220, -120, -106.803649, 0, 985.058411, 330.521667 
230, 1, -89.463050, 0, 974.664734, 375.040253 
240, -120, -91.027119, 0, 1301.480591, 358.180023 
250, -120, -102.652866, 0, 117.112343, 305.196991 
260, -120, -109.613630, 0, 239.953842, 253.320053 
270, -120, -113.781297, 0, 100.628571, 201.035080 
280, -120, -111.585586, 0, 155.703751, 251.622070 
290, -120, -109.514969, 0, 46.422882, 215.459198 
300, -120, -109.492919, 0, 235.151840, 309.229675 
310, -120, -104.784306, 0, 144.899704, 294.353088 
320, -120, -110.889802, 0, 607.130432, 282.126770 
330, -120, -114.545388, 0, 128.012161, 222.234909 
340, -120, -112.284882, 0, 68.567017, 168.319092 
350, -120, -110.182838, 0, 112.360901, 160.779404 
360, -120, -114.122102, 0, 1052.552490, 174.384872 
370, -120, -110.677329, 0, 83.580376, 298.528992 
380, -5, -102.908797, 0, 1075.687378, 298.253632 
390, -120, -103.900616, 0, 352.886383, 319.552948 
400, -120, -106.546036, 0, 44.059551, 277.502258 
410, -120, -111.944615, 0, 103.003685, 198.824585 
420, -120, -115.176943, 0, 204.568359, 231.826279 
430, -120, -107.693578, 0, 202.841812, 224.788422 
440, -120, -112.631690, 0, 73.335503, 200.663544 
450, -120, -101.917363, 0, 80.099190, 174.336319 
460, -120, -99.077732, 0, 90.207970, 227.504303 
470, -120, -107.473065, 0, 472.728516, 243.497101 
480, -120, -102.879328, 0, 72.943748, 219.450729 
490, -120, -106.125287, 0, 78.666679, 165.369598 
500, -120, -111.692697, 0, 97.550179, 192.918701 
510, -120, -115.026111, 0, 103.716148, 142.407425 
520, -5, -96.703765, 0, 43.030598, 160.106079 
530, -120, -96.540054, 0, 178.642349, 250.287796 
540, -120, -105.953664, 0, 61.858624, 225.909225 
550, -120, -105.236815, 0, 102.465546, 204.194992 
560, -120, -104.848312, 0, 241.457840, 270.476685 
570, -120, -105.738750, 0, 43.063274, 213.146927 
580, -120, -105.998763, 0, 768.228821, 278.480072 
590, -120, -111.616942, 0, 226.921707, 215.563461 
600, -120, -110.765961, 0, 32.720615, 159.608368 
610, -120, -114.471240, 0, 78.466667, 131.679871 
620, -120, -116.689727, 0, 64.890495, 102.860680 
630, -120, -109.004653, 0, 51.657085, 142.026184 
640, -120, -113.416679, 0, 20.402426, 125.898293 
650, -120, -111.824653, 0, 780.805481, 251.349670 
660, -120, -115.105118, 0, 120.797386, 183.775223 
670, -120, -113.445319, 0, 90.331520, 146.286530 
680, -120, -93.713519, 0, 1037.540894, 180.715225 
690, 1, -87.406605, 0, 1793.870728, 315.496918 
700, -120, -89.990727, 0, 765.219482, 375.113861 
710, -120, -102.032340, 0, 176.711227, 311.455688 
720, -120, -109.242098, 0, 189.691544, 264.054962 
730, -120, -109.536860, 0, 130.888077, 262.654968 
740, -120, -109.506027, 0, 121.637535, 222.899002 
750, -120, -109.895983, 0, 196.064026, 245.240585 
760, -120, -104.350315, 0, 110.323433, 241.821762 
770, -120, -102.387738, 0, 114.020538, 246.867706 
780, -120, -105.225583, 0, 215.155334, 217.583405 
790, 20, -98.737544, 0, 737.392578, 308.952667 
800, -5, -101.519382, 0, 470.702637, 563.190857 
810, -120, -108.934971, 0, 865.613586, 449.698456 
820, -120, -113.374959, 0, 55.323246, 292.097778 
830, -120, -112.017904, 0, 79.174774, 198.826614 
840, -120, -110.768924, 0, 38.492310, 245.480377 
850, -120, -87.251038, 0, 1201.941040, 266.174164 
860, 20, -84.725294, 0, 1341.308716, 485.773804 
870, -120, -98.879730, 0, 342.276642, 422.610443 
880, -120, -96.123604, 0, 44.053116, 345.494324 
890, -120, -80.391953, 0, 121.398216, 275.419464 
900, -120, -96.285199, 0, 112.344337, 321.573608 
910, -120, -100.338573, 0, 142.547180, 347.815582 
920, 1, -102.165477, 0, 37.106434, 251.060852 
930, -120, -100.670395, 0, 428.892548, 227.005020 
940, -120, -102.073527, 0, 88.930229, 235.973679 
950, -120, -109.266758, 0, 45.943523, 211.020187 
960, -120, -106.861268, 0, 53.696903, 213.396103 
970, -120, -106.399660, 0, 124.604820, 295.326416 
980, -120, -111.856974, 0, 134.979782, 213.932739 
990, -120, -109.949810, 0, 57.439087, 231.155014 
1000, -120, -113.982580, 0, 14.945976, 166.610001 
1010, -120, -111.706101, 0, 188.829102, 174.291992 
1020, -120, -115.034136, 0, 101.772087, 166.036514 
1030, -120, -112.343343, 0, 20.321516, 122.403168 
1040, 13, -104.501398, 0, 16.934164, 141.708069 
1050, -120, -101.458737, 0, 1069.698608, 358.120636 
1060, -120, -102.897036, 0, 1456.168335, 299.376038 
1070, -120, -109.759824, 0, 31.643707, 256.641174 
1080, -120, -97.758807, 0, 1247.675659, 297.264679 
1090, -120, -102.246752, 0, 171.506485, 340.031189 
1100, -5, -93.253337, 0, 34.505890, 286.520996 
1110, -120, -103.985785, 0, 140.876694, 360.192322 
1120, -120, -110.411698, 0, 77.615181, 288.622864 
1130, -120, -114.259129, 0, 86.688812, 257.745270 
1140, -5, -105.638069, 0, 110.595917, 195.717514 
1150, -120, -111.400981, 0, 40.453804, 156.888138 
1160, -120, -114.851450, 0, 53.562634, 234.874481 
1170, 7, -104.788935, 0, 131.376297, 173.949829 
1180, -120, -101.469529, 0, 47.843872, 169.725906 
1190, -120, -98.253247, 0, 1020.008301, 274.529694 
1200, -120, -106.979416, 0, 811.992188, 264.554016 
1210, -120, -102.320571, 0, 888.588135, 281.270996 
1220, -120, -94.813596, 0, 158.959045, 286.032715 
1230, -120, -89.255510, 0, 76.574303, 216.155228 
1240, 1, -91.708751, 0, 190.972519, 298.043610 
1250, -120, -103.060984, 0, 821.007812, 464.071808 
1260, -120, -109.857985, 0, 105.055779, 367.288910 
1270, -120, -108.461836, 0, 78.052666, 264.106415 
1280, -120, -113.091675, 0, 202.532181, 211.040955 
1290, -5, -110.113731, 0, 189.879456, 249.214279 
1300, -120, -114.080725, 0, 78.915894, 219.594757 
1310, -120, -110.696537, 0, 54.851608, 155.178940 
1320, -120, -98.711619, 0, 72.065193, 146.714035 
1330, -120, -107.253860, 0, 260.164429, 209.756836 
1340, -120, -96.264117, 0, 47.451473, 146.754181 
1350, -120, -101.573657, 0, 63.009079, 149.351624 
1360, -120, -99.541321, 0, 173.066299, 349.676422 
1370, -120, -93.895253, 0, 92.566704, 257.505524 
1380, -120, -100.348138, 0, 101.684723, 258.284882 
1390, -120, -108.233704, 0, 71.470535, 179.316574 
1400, -120, -109.134197, 0, 24.134153, 168.812988 
1410, -120, -108.022836, 0, 83.083229, 231.977005 
1420, -120, -108.614037, 0, 94.297234, 211.340668 
1430, -120, -98.833641, 0, 85.735771, 150.993225 
1440, -120, -107.326919, 0, 92.093651, 193.998016 
1450, -120, -106.940752, 0, 73.970573, 167.059158 
1460, -120, -97.496854, 0, 48.827286, 127.271362 
1470, -120, -106.526535, 0, 1226.508545, 301.129486 
1480, -5, -92.836790, 0, 1139.283325, 389.786194 
1490, -120, -97.982945, 0, 277.885651, 303.997467 
1500, 1, -96.737236, 0, 125.924232, 236.489365 
1510, -120, -100.605958, 0, 121.159874, 186.886337 
1520, 7, -97.124710, 0, 129.547501, 171.891373 
1530, -120, -106.303719, 0, 260.010498, 162.279114 
1540, 7, -95.134611, 0, 81.176636, 187.155945 
1550, -120, -95.352833, 0, 961.465393, 239.981827 
1560, -120, -89.379973, 0, 79.672295, 299.796356 
1570, -5, -91.397107, 0, 641.610168, 281.624725 
1580, -120, -102.874392, 0, 174.405960, 304.181488 
1590, -120, -109.746266, 0, 104.988060, 241.241165 
1600, -120, -102.214304, 0, 183.839615, 186.251434 
1610, -5, -98.663103, 0, 217.069824, 317.395111 
1620, -120, -91.961898, 0, 126.808990, 250.345810 
1630, -120, -86.383621, 0, 113.625587, 395.661652 
1640, -120, -90.528033, 0, 602.441406, 414.022156 
1650, -120, -87.011123, 0, 38.012344, 387.639709 
1660, -120, -100.248341, 0, 516.847168, 383.566345 
1670, -120, -108.173952, 0, 349.767181, 337.226105 
1680, 7, -106.544308, 0, 99.132629, 249.365036 
1690, -120, -105.941955, 0, 267.578339, 232.734253 
1700, 13, -99.702952, 0, 27.851305, 172.331757 
1710, -120, -104.026521, 0, 1811.493042, 343.924042 
1720, -120, -110.436088, 0, 39.809376, 261.282379 
1730, -120, -109.824492, 0, 120.845100, 186.415237 
1740, -120, -101.148162, 0, 143.556290, 234.114716 
1750, -120, -95.611388, 0, 498.170776, 347.918976 
1760, -120, -101.773703, 0, 57.639160, 382.752319 
1770, -120, -104.638002, 0, 137.739487, 322.881714 
1780, 1, -104.739705, 0, 38.095135, 243.563004 
